title,year,type_raw,ris_type,doi,url,keywords,abstract,source_file,sheet,doi_key,title_key,fa_key,year_key,dedup_key,score,authors_joined
Pathways Towards a Circular Economy in Ghana: The Contribution of Waste Transfer Stations and the Informal Waste Collectors in Solid Waste Management,2023.0,Article,JOUR,10.1007/978-981-99-3083-8_18,https://doi.org/10.1007/978-981-99-3083-8_18,circular economy OR textile sustainability,"The waste transfer station is a novel technology believed to revolutionise Ghana’s solid waste management sector. Given the current waste management practices, an assessment of the facility is needed to ascertain its usefulness in Ghana’s SWM processes. This study was undertaken to assess the potential impact of the Achimota waste transfer station in promoting circular principles that result in sustainable development outcomes in the city of Accra. A qualitative research approach was adopted to address the study’s objectives, with interviews as the primary data collection tool. From a technological innovation perspective, the results highlighted that the Achimota transfer station has been instrumental in reducing waste volumes by enhancing material recovery for reuse or recycling and fulfils all three dimensions of sustainable development. However, operational gaps make realising a circular economy in the waste management sector and achieving sustainable development an elusive dream. The study recommends a circular waste business model where all stakeholders collaborate and share knowledge to set actionable targets that help address these challenges and ensure a smooth transition to a circular economy in Accra.",Textile Waste,DATA,10.1007/978-981-99-3083-8_18,pathways towards a circular economy in ghana the contribution of waste transfer stations and the informal waste collectors in solid waste management,kofi,2023,10.1007/978-981-99-3083-8_18,16,Kofi Dua Agyei; Bob Offei Manteaw; Andy Bonaventure Nyamekye; Kirk Bright Enu; Thomas Yeboah
How can Ghana transition from a linear to a circular economy of waste management? A conceptual analysis of policy approaches,2023.0,Chapter in Book,CHAP,10.1007/978-981-99-3083-8_5,https://link.springer.com/chapter/10.1007/978-981-99-3083-8_5,African Union OR AU OR AFCFTA and Circular economy OR Waste Management Policy AND Africa OR Any African country OR Region,"Sustainable waste management remains critical to achieving economic prosperity and creating safer cities. However, sustainable waste management policies and programmes in developing countries receive less attention and need stronger implementation by governments and private institutions. Ghana is one example where waste management is predominantly linear, such that only 2–5 percent of over one million tons of waste are recycled. Transitioning to a circular waste management approach is required, but more must be explored. This study sought to examine policy approaches that can catalyse the transition to the circular economy of solid waste management. The study examined (i) the critical factors that can catalyse the transition from a linear to circular waste management approach, (ii) developed a theoretically grounded framework that can guide circular waste management in Ghana, and (iii) identified the potential implications for achieving the Sustainable Development Goals. The study can inform policymaking, analysis, and implementation for sustainable waste management in Ghana, with implications for other developing countries across the globe.",Plastic Waste,DATA,10.1007/978-981-99-3083-8_5,how can ghana transition from a linear to a circular economy of waste management a conceptual analysis of policy approaches,d,2023,10.1007/978-981-99-3083-8_5,14,D Asare; M Abubakari; M Mahama...
Circular economy policies and innovations in Africa: Pillars for achieving sustainable development,2023.0,Chapter in Book,CHAP,10.1007/978-981-99-4803-1_4,https://link.springer.com/chapter/10.1007/978-981-99-4803-1_4,African Union OR AU OR AFCFTA and Circular economy OR Waste Management Policy AND Africa OR Any African country OR Region,"Africa is the fastest urbanising continent leading to increased consumption of resources and generation of waste. Studies indicate that by 2060, the continent’s population will be approximately 2.8 billion. The increase in Africa’s population will further increase consumption and production patterns. Therefore, the continent needs to shift from a linear economy to a circular economy that is a more economical and ecologically form of sustainable development. In Africa, a sustainable circular economy will include better-informed harnessing of resources and sound waste management to meet the population’s needs and achieve several sustainable development goals (SDGs).",Plastic Waste,DATA,10.1007/978-981-99-4803-1_4,circular economy policies and innovations in africa pillars for achieving sustainable development,mk,2023,10.1007/978-981-99-4803-1_4,14,MK Koech; KJ Munene; MK Kinoti...
Conversion of textile waste to wealth and their industrial utilization,2024.0,Article,JOUR,10.1007/978-981-99-7552-5_31,https://doi.org/10.1007/978-981-99-7552-5_31,Post-consumer textile waste AND upcycling AND sustainable textiles AND Africa OR any African country OR region,"With the trend toward practicing sustainability, the entire world is now conscious of textile waste disposal and turning it around into reusable and functional materials with a priority on minimizing health and environmental hazards. The fashion market is more dependent on rapid fashion cycles, an increasing population, and economic causes. Due to fast fashion, textile chemicals released into the water and wastewater, and the manufacturing of yarn, the textile industry has been termed one of the most water-releasing sectors, with some major concerns like carbon emissions, water pollution, and a severe impact on the lives of those living under the water and on the land. Therefore, it is important to adopt a more sustainable method of textile recycling. The cheap and efficient process can be made consumer-friendly with mechanical and physical recycling methods. Moreover, fiber-reinforced polymer composites contribute a lot to the world because of their low weight, superior stiffness, and low cost. Researchers have been working on finding some linear solutions that can transform textile waste into real wealth. Utilizing the textile wastes in certain processes and elevating them to high-value success should be the ultimate success of this journey. Moreover, a non-rebounding system with proper management will lessen the forthcoming consequences of textile waste. Therefore, this chapter briefly discusses the sectors generating most of the textile waste and linear solutions as to how industrial waste will return nothing less than wealth. This chapter provided an outlook regarding recycling methods to convert textile waste into wealth.",Textile Waste,DATA,10.1007/978-981-99-7552-5_31,conversion of textile waste to wealth and their industrial utilization,m,2024,10.1007/978-981-99-7552-5_31,14,M Akter; HR Anik; S Mahmud
Closing the policy-implementation gaps in E-Waste management: Implications for circular economy and sustainability in urban Ghana,2024.0,Review,JOUR,10.1007/978-981-99-9025-2_10,https://doi.org/10.1007/978-981-99-9025-2_10,"""E-waste"" AND ""repair and refurbishment"" AND ""ICT waste"" AND (Africa OR any African country OR region);","Globally, national and city governments in developing regions are making frantic efforts to regulate and manage electrical and electronic waste (e-waste) to protect the environment and reduce its attendant environmental effects on the urban populace. Because of the above, some countries have formulated several policies and legislations aimed at tackling the problem of e-waste at different aspects of the value chain and effectively manage the negative ecological footprints often associated with e-waste proliferation. In global southcities, discussions on policies and legislations on the management of e-waste have rarely been situated in the circular economy discourse, and more so how the implementation of these policies and legislations harness circular economyprinciples for sustainable development. Drawing on a content analysis of scholarly literature and policy/legislative documents, this chapter aims at examining policy and implementation gaps in the management of e-waste in Ghana and its implications on the quest towards a circular economy development paradigm. We assert the imperative for e-waste management to be institutionally framed in circular economyprinciples to advance progress towards the sustainable urban development in Ghana.",Electronic Waste,DATA,10.1007/978-981-99-9025-2_10,closing the policy implementation gaps in e waste management implications for circular economy and sustainability in urban ghana,lk,2024,10.1007/978-981-99-9025-2_10,14,LK Frimpong; SL Mensah; SA Okyere
Eco Textiles: The Present and the Future,2024.0,Article,JOUR,10.1007/978-981-99-9856-2_12,https://doi.org/10.1007/978-981-99-9856-2_12,Textile waste AND textile recycling AND circular fashion AND Africa,"Industrial and financial development plays an important role in any nation’s progress. When it comes to the implementation of new sustainable practices, the textile sector is currently undergoing a period of evolution means making steady and gradual progress toward adopting more ecologically oriented and socially sensitive practices. The purpose of this paper is to examine how sustainable innovations and wastewater management are currently being applied in the textile industry. Textiles are an essential part of our everyday lives and are significant to the world economy. It is commonly acknowledged that the textile industry is among the most difficult to integrate sustainability into its operational framework. There are several implementations such as innovation in sustainable products including sustainable production and packaging materials, life cycle assessment, Eco-design, and Eco-labeling. Textile sustainable process innovation includes the use of enzymes in textile processing, improved waste management techniques, eco-efficiency, supply chain management, and sustainable textile product production. The acquisition of environmental management systems, corporate policies, cooperative practices between businesses and consumers, distinctive business models, culture, and knowledge systems are additional examples of organizational sustainability innovation.",Textile Waste,DATA,10.1007/978-981-99-9856-2_12,eco textiles the present and the future,m,2024,10.1007/978-981-99-9856-2_12,14,M Kaur; M Pavan; L Samant
"Characteristics and Risk Assessment of Microplastics in water and mussels sampled from Cape Town Harbor and Two Oceans Aquarium, South Africa.",2023.0,Article,JOUR,10.1007/s00128-023-03737-1,https://doi.org/10.1007/s00128-023-03737-1,“Plastic pollution” AND “Plastic Packaging waste” AND “waste to value” AND “Africa”,"The aim of this study was to measure the characteristics and risk assessment of microplastics (MPs) in Cape Town Harbour (CTH) and the Two Oceans Aquarium (TOA) in Cape Town, South Africa from 2018 to 2020. Water and mussel MP samples were analyzed at 3 sites in CTH and TOA, respectively. Microplastics were mainly ilamentous, black/ grey and 1000–2000 μm in size. A total of 1778 MPs, averaging 7.50 (± 0.6 standard error of the mean, SEM) MPs/unit were recorded. Average MP concentrations were 10.3 ± 1.1 MPs/L in water and 6.27 ± 0.59 MPs/individual or, based on weight, 3.05 ± 1.09 MPs/g soft tissue wet weight in mussels. Average MPs in seawater in CTH (12.08 ± 1.3 SEM MPs/L) was significantly higher (4.61 ± 1.1 MPs/L) than inside the TOA (U = 536, p = 0.04). Various risk assessment calculations indicate that MPs in seawater poses a greater ecological risk than MPs in mussels at the sites sampled.",Plastic Waste,DATA,10.1007/s00128-023-03737-1,characteristics and risk assessment of microplastics in water and mussels sampled from cape town harbor and two oceans aquarium south africa,conrad,2023,10.1007/s00128-023-03737-1,14,"Conrad Sparks, Nathalie Viljoen; Deen Hill, Jonathan Lassen; Adetunji Awe."
Catalysing Environmental Action a Governance Framework for Enhancing Individual Participation in Sub-Saharan Africa’s Plastic Circular Economy,2025.0,Article,JOUR,10.1007/s00267-024-02044-7,https://doi.org/10.1007/s00267-024-02044-7,“Plastic waste” AND “Plastic recycling” AND “circular economics” “Plastics” AND “Africa”,"Plastic waste poses a significant challenge to achieving sustainable production and consumption of resources, particularly in sub-Saharan Africa where effective governance and waste management systems are lacking. In this paper, we develop an empirical understanding of the influence of public governance system on promoting circular economy (CE) for plastic actions among individuals. Through a survey of 1475 participants across five sub-Saharan African countries, we tested five hypotheses drawing on New Governance Theory and CE Action Recipe to explore the relationship between governance and individual’s actions supporting CE for plastic. We found that a governance system that supports CE practices and exhibits governance efficiency is positively associated with individuals’ actions supporting CE for plastic. The awareness of government policies, laws and regulations, institutions, processes, and programmes have a significant impact on individuals’ engagement in plastic circularity practices. The paper’s theoretical and governance implications highlight the relevance of public governance in shaping action towards a CE for plastic at the individual level.",Plastic Waste,DATA,10.1007/s00267-024-02044-7,catalysing environmental action a governance framework for enhancing individual participation in sub saharan africa s plastic circular economy,ambituuni,2025,10.1007/s00267-024-02044-7,15,"Ambituuni, Ambisisi; Ajala, Olubunmi; Schroeder, Patrick; Oyinlola, Muyiwa"
A study on consumer consciousness and behavior to the plastic bag ban in Kenya,2021.0,Article,JOUR,10.1007/s10163-020-01142-y,https://link.springer.com/article/10.1007/s10163-020-01142-y,Single-use plastics AND plastic alternatives AND climate impact of plastics AND Africa,"Single use plastics pose environmental and socioeconomic problems in our life and ecosystems. After a 14 year attempt, Kenya successfully adopted a plastic bag ban for secondary packaging in August 2017. Globally, the impact of plastic bag policies are limited or not documented. Using a questionnaire survey, this study explored consumer consciousness towards the ban, reusable bag usage behavior, and estimated plastic bag consumption before the ban. Results indicate that the ban has favorable support of about 67% from consumers. The perceptions towards cleanliness and waste management were different between urban and rural respondents. This highlighted differences in awareness creation and enforcement of the ban. Behaviorally, ownership of reusable bags tripled to 12 bags per household. Plastic reusable bags were the most owned and most discarded bags within 6 months. Moreover, a report estimates that 300 million bags (8.3–6.7 bags person−1 y−1) were consumed annually in 2005 and 2017 before the ban, the current study estimates the ban potential eliminates about 6.2 billion bags (138 bags capita−1 y−1) from the waste stream. It is thus important to incorporate usage frequency, reusable bags standards, waste and health factors in policy formulation. Proper usage of reusable bags prevents waste and lowers their environmental burden.",Plastic Waste,DATA,10.1007/s10163-020-01142-y,a study on consumer consciousness and behavior to the plastic bag ban in kenya,i,2021,10.1007/s10163-020-01142-y,13,I Omondi; M Asari
"Assessment of trade-offs, quantity, and biochemical composition of organic materials and farmer's perception towards vermicompost production in smallholder farms of Ethiopia",2022.0,Article,JOUR,10.1007/s10163-021-01339-9,https://doi.org/10.1007/s10163-021-01339-9,Organic waste AND composting AND rural development AND Africa,"The use of agricultural crop residues and animal manure for soil amendment is limited in most part of Ethiopia because of high competition for the uses. However, due to low SOM content in most agricultural soils, there is an urgent need for a sustainable management system of agricultural residues to replenish SOM. Vermicomposting is superior among the most efficient recycling techniques for management of available agricultural wastes. The study aimed to investigate the type of crop residues and animal manure available, determinants for their current use, quantity of residue left for composting and farmer's perception of vermicomposting in three districts of the Benishangul-Gumuz region. Farmers use the largest portion of cereal residue such as sorghum as fuel and tef straw sold at the market and/or as stall-feeding. However, legume residues were consistently preferred for use as a composting material over cereal residues. The average amount of crop residues available for composting was estimated in the range between 0.2 and 0.6 ton year(-1) farmer(-1), across districts. While the quantity of cow manure used for compost production significantly differs between districts and was estimated 1.7, 1.2, and 0.5 ton year(-1) farmer(-1) at Bambasi, Assosa, and Homosha districts, respectively. Unlike other parts of Ethiopia, the mixed farmers in the study region well recognized the benefit of animal manures and did not use them as a source of fuel. Residues were found with varying decomposition characteristics that sorghum (10.08% and 1.65%) and tef (9.16% and 1.43%) residues had higher lignin and polyphenol contents, respectively, than maize, soybean, banana, and haricot bean. In terms of their quantity and quality composition, cow and donkey manures, as well as residues of soybean, banana, and maize are the major organic resources potential for utilization in the vermicomposting process in the region. Moreover, the availability of potential organic residues at the farm level could encourage farmer's motive to adopt high-value vermicompost production.",Agrifood Systems,Articles,10.1007/s10163-021-01339-9,assessment of trade offs quantity and biochemical composition of organic materials and farmer s perception towards vermicompost production in smallholder farms of ethiopia,gebrehana,2022,10.1007/s10163-021-01339-9,16,"Gebrehana, ZG; Gebremikael, MT; Beyene, S; Wesemael, WML; De Neve, S"
Strategy for waste management using circular economy approach in Algeria: a case study,2024.0,Article,JOUR,10.1007/s10163-024-01990-y,https://doi.org/10.1007/s10163-024-01990-y,circular economy OR textile sustainability,"This article highlights the importance of waste management in Algeria, particularly in Oran, despite legislative initiatives such as Law 01–19 on waste management, control, and disposal, as well as the establishment of the National Waste Agency. Although Executive Decree No. 04–199 introduced the public Eco-Jem system for packaging waste treatment and the implementation of the National Integrated Waste Management and Valorization Strategy by 2035, the efficiency of waste treatment remains a challenge. However, the waste valorization sector lags significantly. Data analysis reveals that out of the 693.5 million tons of waste in 2022, less than 1% undergoes composting, while around 11% is recycled, leaving the majority (88%) unprocessed. Our study underscores the significant missed opportunities from insufficient recycling. Energetic valorization of organic matter could yield an estimated 123.5 MWh/day, and composting could bring gains exceeding 5 million US dollars in 2021–2022. Effective selective sorting is crucial for waste solutions proposed. Moreover, sustainable waste management could create 40,000 direct jobs and over 200,000 indirect ones, highlighting the sector’s transformative potential. Advocating for a 3R-VE approach toward a circular economy, this article promotes innovative practices to rejuvenate waste management, ultimately improving life quality in Oran and Algeria.",Textile Waste,DATA,10.1007/s10163-024-01990-y,strategy for waste management using circular economy approach in algeria a case study,sanaa,2024,10.1007/s10163-024-01990-y,13,"Sanaa Dahmane, Islam S Abdelli, Fatiha Abdelmalek, Meriem Toumi; Ahmed Addou"
Assessment of demographics and motivations of post-consumer textile waste management using a bibliometric approach,2024.0,Article,JOUR,10.1007/s10163-024-01994-8,https://doi.org/10.1007/s10163-024-01994-8,Textile waste AND textile recycling AND circular fashion AND Africa,"Proper management of post-consumer textile waste (PCTW) is vital to the sustainable development of circular economy. This study systematically analyze PCTW studies from 1995 to 2021 focusing on demographics, motivations, and reasons of PCTW management. A PRISMA approach is adopted for the bibliometric analysis. It is found that very few PCTW studies focused on the behavioral, physiologic, and cultural aspects. Recently, there is an increasing trend in PCTW publications, with a 73% increase in research output over the 15 years. USA stands out as the most productive country. Demographics such as income, age, and gender appeared to be the most significant role in shaping consumer behaviors, contributing to around 50% of the studies. There is a lack of studies involving participants below the age of 18, omitting one of the key stakeholders of PCTW management. We found gender bias in research participants, and many published PCTW studies focused exclusively on female consumers. Convenience and the condition of clothing items are important factors influencing consumer-disposal decisions, while environmental concerns are pivotal motivations driving recycling behaviors. More studies on gender stereotyping and cultural appropriation are recommended to better understand PCTW generation, recycling, and disposal behaviors.",Textile Waste,DATA,10.1007/s10163-024-01994-8,assessment of demographics and motivations of post consumer textile waste management using a bibliometric approach,amal,2024,10.1007/s10163-024-01994-8,13,"Amal Ben Abdallah, Sagar Ray, Sharmin Jahan Mim, Tanvir Shahrier Mahmud, Amy Richter; Kelvin Tsun Wai Ng"
Life cycle assessment of plastic waste management in Mozambique,2025.0,Article,JOUR,10.1007/s10163-024-02098-z,https://doi.org/10.1007/s10163-024-02098-z,Plastic waste generation”AND “Plastic Waste disposal” AND “GHG_emissions” AND “Africa”,"Low-income coastal nations such as Mozambique grapple with providing sustainable and effective management of plastic waste (PW), which influences the increase in disease prevalence and of diverse adverse environmental impacts, primarly terrestrial and marine pollution. About 490,000 tons, from domestic generation and imports, make up the total PW in the system. In this study, a life cycle assessment (LCA) was employed to clarify the associated environmental impacts of 1 kg of PW within the waste management system in Mozambique. It was explained that over 95% of PW ended up in open dumpsites, with about 60% open burned, significantly impacting the ecotoxicity and global warming categories—5.49 kg of 1,4-dichlorobenzene (1,4-DCB) for terrestrial ecotoxicity, 4.99 kg of 1,4-DCB for human non-carcinogenic ecotoxicity, and 1.57 kg of carbon dioxide equivalent (CO2 eq) for global warming potential. The findings provide a quantitative baseline understanding of PW management impacts in the country, thus identifying junctures and opportunities that can help inform and enable the development of policies and strategies for a sustainable PW management system.",Plastic Waste,DATA,10.1007/s10163-024-02098-z,life cycle assessment of plastic waste management in mozambique,dos,2025,10.1007/s10163-024-02098-z,14,"dos Muchangos, Letícia Sarmento; Ito, Lisa; Tokai, Akihiro"
Recycling of bast textile wastes into high value-added products: a review,2022.0,Article,JOUR,10.1007/s10311-022-01484-z,https://doi.org/10.1007/s10311-022-01484-z,Textile waste AND textile recycling AND circular fashion AND Africa,"The textile industry contributes to about 5% of all waste globally, with approximately 20 billion pounds of waste landfilled every year, calling for advanced recycling methods in the context of the circular economy. Here, we review physical and chemical methods for recycling textiles waste into high value-added products such as composite reinforcements, soil covering materials, adsorbents, electrodes, supercapacitors, and nanocrystalline cellulose. Chemical recycling is more frequent than physical recycling. Product quality depends on the recycling methods; for instance chemical recycling yield materials with better porous characteristics and higher adsorption capacity than materials obtained by physical recycling. Intelligent wearables and technologies for advanced textile processing are discussed.",Textile Waste,DATA,10.1007/s10311-022-01484-z,recycling of bast textile wastes into high value added products a review,x,2022,10.1007/s10311-022-01484-z,14,"X Yang, W Fan; H Wang, Y Shi; S Wang"
Changing food waste regimes in Africa's transition to export-oriented production: the case of Tanzanian avocado,2025.0,Article,JOUR,10.1007/s10460-024-10699-5,https://doi.org/10.1007/s10460-024-10699-5,Agri-food waste AND waste-to-energy AND climate-smart agriculture AND Africa,"African nations are increasingly focusing on exporting high-value crops. However, a major challenge exists: high rates of food waste within supply chains. The problem is often seen as a technological issue-a lack of proper infrastructure and coordination creates inefficiencies. This research takes a different perspective, focusing on social relations within the supply chain. It uses the concept of food waste regimes to understand the underlying structures, relationships, and systems that cause food waste, with a focus on Tanzania's avocado trade. The goals of the research are to: (1) Identify the factors contributing to food waste within Tanzania's avocado supply chains, particularly in the context of export-oriented production; (2) Explore how these factors change as production shifts towards exports; (3) Analyse the fairness (equity) of how waste burdens are distributed among those involved. We adopted a follow the thing approach, combining interviews and observations across both domestic and export avocado supply chains in Tanzania. The research reveals that interactions between various aspects of the supply chain-practices, physical properties of the product (avocado perishability), and established institutions-influence where food waste occurs and who shoulders the burden of that waste. The research exposes how unequal power dynamics between participants lead to some actors bearing a disproportionate amount of the risk and cost of food waste. By taking a social relations approach, this research highlights that tackling food waste and social inequality are intertwined issues. The paper suggests potential areas for future research and intervention to address these interconnected challenges.",Agrifood Systems,Articles,10.1007/s10460-024-10699-5,changing food waste regimes in africa s transition to export oriented production the case of tanzanian avocado,cromwell,2025,10.1007/s10460-024-10699-5,15,"Cromwell, J; Whitfield, S; Quinn, CH; Blake, MK"
"Gastric bioaccessibility and human health risks associated with soil metal exposure via ingestion at an E-waste recycling site in Kumasi, Ghana",2022.0,Article,JOUR,10.1007/s10653-020-00760-7,https://doi.org/10.1007/s10653-020-00760-7,"""E-waste"" AND ""ICT waste"" AND (Africa OR any African country OR region","Over 1000 people make a living by processing electronic and electrical waste (E-waste) and scrap metals for the recovery of valuable metals and integrated circuits at Dagomba Line, Kumasi, Ghana. The processing includes activities such as dismantling, open burning and open dumping of E-waste which can potentially release toxic metals into the environment and thus impact the health of recyclers and nearby residents. This study investigated the distribution of toxic metals (As, Cd, Cr, Cu, Hg, Ni, Pb, Sb and Zn) in surface soils at the E-waste recycling sites and determined the associated human health risk via ingestion incorporating bioaccessibility measurements. Metal concentrations in the activity sites were highly elevated, significantly higher than those in the surrounding area and exceeded international soil quality guidelines such as the Canadian soil quality guidelines for residential land use and the Dutch Intervention Value. Bioaccessibility was high for Pb (70.8%), Cd (64.1%), Cu (62.3%) and Ni (53.6%) which could be credited to the existence of oxidized species as a result of the E-waste burning. Non-carcinogenic effects were unacceptably high (hazard indices > 1) at 14 out of 31 sites, and the cancer risk for arsenic for adult workers was greater than 1 × 10-5 at five of the sampling sites.",Electronic Waste,DATA,10.1007/s10653-020-00760-7,gastric bioaccessibility and human health risks associated with soil metal exposure via ingestion at an e waste recycling site in kumasi ghana,lo,2022,10.1007/s10653-020-00760-7,14,LO Amponsah; M Dodd; G Darko
